"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\SPD1.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 8, 0, 1, 9
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\SPD1.designer.deps.json", "JSON", 0, 0, 11, 0, 0, 0, 11
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\SPD1.designer.runtimeconfig.json", "JSON", 0, 0, 17, 0, 0, 0, 17
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\SPD1_Content.g.i.cs", "C#", 28, 0, 0, 0, 9, 4, 41
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\Visualization.g.cs", "C#", 75, 0, 0, 0, 15, 20, 110
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Debug\net5.0-windows\Visualization.g.i.cs", "C#", 75, 0, 0, 0, 15, 20, 110
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\App.g.cs", "C#", 43, 0, 0, 0, 18, 11, 72
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\App.g.i.cs", "C#", 43, 0, 0, 0, 18, 11, 72
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\MainWindow.g.cs", "C#", 317, 0, 0, 0, 15, 122, 454
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\MainWindow.g.i.cs", "C#", 317, 0, 0, 0, 15, 122, 454
"c:\Users\mkale\source\repos\SPD2021\Program\obj\Release\net5.0-windows\MakespansWindow.g.cs", "C#", 61, 0, 0, 0, 15, 15, 91
